"burner","from","to","user","stablecoin","stablecoinAmount","burned","burnedAmount","tx","ts","gasPrice","gasUsed","gasLimit","v","block"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","94104166","0x985458e523db3d53125813ed68c274899e9dfab4","1000000000","0x5ec51af7c45c6dd57c8d88d20dbda4e7fea7642c8118babfab64643348b02644","1692822921","100000000000","227386","341079","3333200036","46123787"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","199194583","0x985458e523db3d53125813ed68c274899e9dfab4","2000000000","0xf8ebfc37d297677c434c6f849638a56e91268857b734c8269e3884c1ae8dbaa4","1692826908","100000000000","182354","273531","3333200036","46125780"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xc0af16725BD379f2de5fe860eA2943b82e89121f","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xc0af16725bd379f2de5fe860ea2943b82e89121f","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","534751322","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","5417000000","0x1001474b2dd9d946290ca7cfa3e26977fc0cbf8238a5b9b6459751809a84cfa5","1692833983","100000000000","205023","307534","3333200035","46129316"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xc0af16725BD379f2de5fe860eA2943b82e89121f","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xc0af16725bd379f2de5fe860ea2943b82e89121f","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","454763666","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","4600000000","0x3f41b62bb94b2fa980c2e3eaae7955139173566ba6beabac83106cbaf5744baa","1692843677","100000000000","155811","233716","3333200036","46134162"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xbd1df00dD7021b1c21e44140150F5F5c5D800fBC","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xbd1df00dd7021b1c21e44140150f5f5c5d800fbc","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","870463999","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","8700000000","0xab528ef45d2a26352262b2b073a02bfc592e59695d87f1add560337ffaba2bce","1692853501","100000000000","188111","188111","3333200035","46139070"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","100905732","0x985458e523db3d53125813ed68c274899e9dfab4","999999000","0x457f06181430451fecb7a546617a98ab945d623e70f98e7a9bc80c6ba9c3493e","1692863418","100000000000","182366","273549","3333200036","46144026"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xc161A6F92B4561068F5996B8F835A37A284D7362","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0xc161a6f92b4561068f5996b8f835a37a284d7362","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","741400148","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","7403000000","0xe3ff07abec9be501db81fee0f3f1a8644b16e190a92aae67ac6bec25021e9505","1692866968","100000000000","175023","262534","3333200035","46145800"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x6aE098A5035a885a1e564Fc859093FD67Fa5E603","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x6ae098a5035a885a1e564fc859093fd67fa5e603","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","434852212","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","4365000000","0x67789dc276d70e624d1f5bab72a69fa25f0114574965717ac82038965b66f7e3","1692876745","100000000000","185811","278716","3333200035","46150688"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x6aE098A5035a885a1e564Fc859093FD67Fa5E603","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x6ae098a5035a885a1e564fc859093fd67fa5e603","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","537323018","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","5264260000","0xc3d5c76b990017af2c044849a0743e8caee93313e1be2d0cc9a3a21deb83bbdc","1692886789","100000000000","156398","234597","3333200036","46155709"
"0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x8Ba8fa550861fCA4615a82E2bc9cf9C197Cd54ec","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","98531666","0x985458e523db3d53125813ed68c274899e9dfab4","1000000000","0x3414c3b22836fb123384711fa7788df35001d59a9360df3e8da0861dbbc83610","1692896447","100000000000","182366","273549","3333200036","46160537"
