"burner","from","to","user","stablecoin","stablecoinAmount","burned","burnedAmount","tx","ts","gasPrice","gasUsed","gasLimit","v","block"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x629e8CFE5f53e8F12E1CAc9F85df191942DBe7CF","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x629e8cfe5f53e8f12e1cac9f85df191942dbe7cf","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","57745833","0x985458e523db3d53125813ed68c274899e9dfab4","1000000000","0x8b24810f51a73d7200f24935fc6337c691ce367ec01b3ca530e6d712a786302a","1708321950","125000000000","228470","274164","3333200036","53822324"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xc161A6F92B4561068F5996B8F835A37A284D7362","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xc161a6f92b4561068f5996b8f835a37a284d7362","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","530","0x985458e523db3d53125813ed68c274899e9dfab4","10000","0xc799652f27f280a032cd30e172e34f08fff6f5bbe5cd5258e677417fc69e299d","1708322710","105000000000","195603","293404","3333200036","53822704"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x629e8CFE5f53e8F12E1CAc9F85df191942DBe7CF","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x629e8cfe5f53e8f12e1cac9f85df191942dbe7cf","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","643860737","0x985458e523db3d53125813ed68c274899e9dfab4","11696000000","0x686aae0be13185d0611be4658e09b0dc00dc232e002e6fda24021bf0fbeee0a4","1708322920","125000000000","176690","212028","3333200035","53822809"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x94FF55B8655977423cF63943D92C5FDDAf36cFE2","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x94ff55b8655977423cf63943d92c5fddaf36cfe2","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","2084260000","0xef977d2f931c1978db5f6747666fa1eacb0d0339","18124000000000000000000","0x90de96d10a67f4bb93a43ade86dd99b1bf6463c322070b082e6662c269f56145","1708333775","100000000000","210798","210798","3333200035","53828235"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xc161A6F92B4561068F5996B8F835A37A284D7362","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xc161a6f92b4561068f5996b8f835a37a284d7362","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","314105555","0x985458e523db3d53125813ed68c274899e9dfab4","2800000000","0x5f8d7feb8baf672be26485cd1dd77a5505c1280b4ff9d451f91f4f347110a429","1708344285","100000000000","169077","253615","3333200035","53833489"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xEe995cCcC7A1316b6f1790575EEeA2a2285065E0","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xee995cccc7a1316b6f1790575eeea2a2285065e0","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","207000000","0xe176ebe47d621b984a73036b9da5d834411ef734","1800000000000000000000","0x08bc040d4935a56e65b922adcedfd887aec9d63aa63ecc5f578c6c4baed2b9f7","1708354103","100000000000","226238","226238","3333200035","53838395"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xb873BCF80afA89c2A9e5182f5792d64a03Eb4311","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xb873bcf80afa89c2a9e5182f5792d64a03eb4311","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","575000000","0xef977d2f931c1978db5f6747666fa1eacb0d0339","5000000000000000000000","0x5bf0d635e5f7f532eeb63dce180fc98b972e0bc726ac2ea1d332a4f59818149e","1708358592","125000000000","199443","239332","3333200036","53840639"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xd592510aD8Bce793d7aE21664494AA39dc9e1E22","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xd592510ad8bce793d7ae21664494aa39dc9e1e22","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","6376","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","100000","0x64a7edcd95cff54fbda91d2d751f8c20bb619c33ed53b7a525019f4499d05963","1708364122","100000000000","211178","316767","3333200036","53843403"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xcAB60429AFe0db4bc50aCF1fc0811aDc138b825E","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xcab60429afe0db4bc50acf1fc0811adc138b825e","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","6467","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","100000","0x242a19a10c1471615da2654cdd3dfcf964b8bdd2ec09a5ed168a6855026f19a3","1708364216","100000000000","196170","294255","3333200035","53843450"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xc161A6F92B4561068F5996B8F835A37A284D7362","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0xc161a6f92b4561068f5996b8f835a37a284d7362","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","593400","0x985458e523db3d53125813ed68c274899e9dfab4","5160000","0xa46a7f44c1b2b56ba7ee7ed28be013084275ea93053fe2c4744c0cdce50ea10c","1708376825","105000000000","183912","275868","3333200036","53849753"
"0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x0F6970F269CD49ee01A1998B5aEe4E7C80b8E702","0x66a57F53CEB46De83313c23861739dF6E1Dfff93","0x0f6970f269cd49ee01a1998b5aee4e7c80b8e702","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","706100","0x985458e523db3d53125813ed68c274899e9dfab4","6140000","0x017b9b831227d6185eb20231a16483bf27e54169e743ee2b16b13953ea62808b","1708378001","105000000000","198932","298398","3333200035","53850341"
