"burner","from","to","user","stablecoin","stablecoinAmount","burned","burnedAmount","tx","ts","gasPrice","gasUsed","gasLimit","v","block"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0xbd1df00dD7021b1c21e44140150F5F5c5D800fBC","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0xbd1df00dd7021b1c21e44140150f5f5c5d800fbc","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","991900000","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","9100000000","0xababdffd5b4091a1d5c45cf6c6704dfbf83a8bafb473d15f84e8e0a00b533f11","1689395280","1000000000000","203889","203889","3333200035","44411053"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107bEbA360bAdEf2E6f1b8f2ef90c","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107beba360badef2e6f1b8f2ef90c","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","49035499","0x3095c7557bcb296ccc6e363de01b760ba031f2d9","3228356","0xaa13e8826164339e9921cb7806c2fa23572538fc685f830933864aa4cbaa602a","1689402474","105010500000","195661","350000","3333200035","44414647"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0xc0af16725BD379f2de5fe860eA2943b82e89121f","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0xc0af16725bd379f2de5fe860ea2943b82e89121f","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","488479417","0xef977d2f931c1978db5f6747666fa1eacb0d0339","5336000000000000000000","0x5aeb54819abf1bc47c715fc4978543ccae4f6a9388f4b4676bd96d4f47364292","1689405941","100000000000","211950","317925","3333200035","44416379"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","79382500","0x985458e523db3d53125813ed68c274899e9dfab4","1000000000","0xce2a86df4bd257a7fb84b3dfca512cb95916e8a8b23a89ee06d63446127ab32c","1689413510","100000000000","212366","318549","3333200035","44420160"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107bEbA360bAdEf2E6f1b8f2ef90c","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107beba360badef2e6f1b8f2ef90c","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","59061652","0x3095c7557bcb296ccc6e363de01b760ba031f2d9","3736797","0x07a08fc22276302c344503943f28f8fa08f8b7d4bf4ebeef9871b116b4350ef7","1689416329","105010500000","165641","350000","3333200035","44421568"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107bEbA360bAdEf2E6f1b8f2ef90c","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107beba360badef2e6f1b8f2ef90c","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","59040417","0x3095c7557bcb296ccc6e363de01b760ba031f2d9","3674596","0x23050c21b536fc70c30f6c6472dd165ee92cfd1ef4c7885010c019671422382e","1689418598","105010500000","165673","350000","3333200035","44422702"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107bEbA360bAdEf2E6f1b8f2ef90c","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107beba360badef2e6f1b8f2ef90c","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","59033963","0x3095c7557bcb296ccc6e363de01b760ba031f2d9","3705250","0x23157f4cb4cd990636a8344fcd0bdd1d927bcb4ce246bd04dad323c91e834be9","1689420650","105010500000","165629","350000","3333200035","44423727"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","82190778","0x985458e523db3d53125813ed68c274899e9dfab4","999000000","0x101a19ebd63740831f452b4dca6892008aec307e662811d6780e2d66974810c5","1689423060","100000000000","181803","272704","3333200035","44424931"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107bEbA360bAdEf2E6f1b8f2ef90c","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0x236440981a5107beba360badef2e6f1b8f2ef90c","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","59052442","0x3095c7557bcb296ccc6e363de01b760ba031f2d9","3576006","0x945c9f7483800e54f1c397c95a9063d07a7ded0473be95ba5b1a0b5732d7700b","1689426051","105010500000","165653","350000","3333200036","44426425"
"0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0xc0af16725BD379f2de5fe860eA2943b82e89121f","0x3023dB7206a05d46F1b4A6CF4F8d6183aCD78051","0xc0af16725bd379f2de5fe860ea2943b82e89121f","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","414898647","0xef977d2f931c1978db5f6747666fa1eacb0d0339","5139000000000000000000","0x5c1ff9488ebbc134fb7bc0ede2d35916dfdc1028ce1ad6716a9f4648ea6a6127","1689427977","100000000000","166942","250413","3333200035","44427387"
